,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
Fernando Ní©stor Muslera,GK,69.04761905,84.09090909,54.54545455,25,0,23,25,17,16,16,32,78,13,23,58,63,15,44,47,60,62,45,68,62,68,84,12,25,10,10,14,10,24,10,83,81,75,75,85
Vedran ÛÊorluka,CB,73.80952381,84.09090909,59.09090909,50,50,73,65,83,82,83,81,77,45,77,60,78,68,70,72,49,65,80,84,46,57,80,83,64,47,53,69,60,49,38,14,15,12,9,6
Edin DÅ_eko,ST,76.19047619,84.09090909,59.09090909,75,25,79,75,11,16,28,51,78,87,50,70,76,63,72,59,68,65,72,82,42,58,66,80,86,86,69,65,54,70,75,15,9,13,11,15
Sí©amus Coleman,RB,38.0952381,76.13636364,45.45454545,50,50,77,78,83,84,84,78,81,76,77,70,76,81,77,70,79,79,90,73,74,77,72,67,75,65,68,42,35,60,64,13,5,10,15,7
Javier Herníçndez,ST,33.33333333,71.59090909,45.45454545,50,50,79,76,22,25,29,59,82,88,26,72,81,62,70,55,86,79,75,58,84,81,85,82,76,87,69,67,52,76,79,12,14,9,12,11
Beí±at,CM,33.33333333,70.45454545,54.54545455,50,25,80,73,59,65,76,79,80,78,70,84,73,81,85,86,65,55,80,70,74,70,59,47,87,69,81,83,84,69,61,6,16,14,10,13
Emiliano Viviano,GK,80.95238095,90.90909091,59.09090909,25,0,22,18,19,12,10,18,77,10,10,60,64,12,36,37,30,33,29,58,32,35,66,13,21,17,18,14,16,21,13,78,81,79,84,83
Antonio Valencia,RB,47.61904762,77.27272727,59.09090909,0,50,80,82,78,77,82,84,84,78,80,71,85,85,77,69,87,85,89,85,87,74,68,64,85,58,62,69,66,55,69,7,16,10,11,7
Falcao,ST,38.0952381,70.45454545,59.09090909,75,50,81,74,16,19,42,72,82,85,41,68,85,55,67,53,75,68,68,73,75,85,92,90,78,83,76,83,71,84,84,9,10,6,13,5
Diego Alves,GK,61.9047619,82.95454545,59.09090909,25,0,15,14,14,15,13,44,79,13,19,64,70,24,33,33,55,54,43,67,57,69,79,20,24,20,22,24,21,24,25,76,86,76,75,85
Andrea Consigli,GK,66.66666667,81.81818182,54.54545455,50,0,23,10,12,19,17,11,75,10,15,46,50,10,31,27,48,34,31,51,40,57,80,10,24,10,19,15,15,21,19,81,82,72,84,84
Loí¿c Perrin,CB,47.61904762,79.54545455,59.09090909,50,25,74,62,85,83,86,81,76,56,82,63,80,69,74,77,67,72,79,79,73,65,84,80,74,64,67,59,51,68,44,11,6,12,7,14
Benoí¬t Costil,GK,64.28571429,86.36363636,50,50,0,12,13,16,14,11,22,77,12,22,44,53,11,35,33,49,53,28,65,45,38,49,15,22,14,15,12,11,15,12,82,82,78,80,84
Raí_l Albiol,CB,69.04761905,81.81818182,59.09090909,50,25,67,54,85,83,85,79,78,30,83,49,73,38,71,65,60,62,62,82,56,55,77,77,65,27,53,53,45,37,31,9,8,5,6,8
Mario Gí_mez,ST,66.66666667,88.63636364,59.09090909,75,25,75,74,20,20,24,72,80,84,20,62,85,62,69,50,68,75,69,86,55,64,76,83,82,84,78,68,36,74,78,7,8,9,8,14
Diego Lí_pez,GK,83.33333333,89.77272727,77.27272727,50,0,23,11,14,14,13,36,79,11,16,53,69,11,28,23,34,52,42,66,47,48,68,10,22,12,11,10,11,21,14,83,75,72,84,79
Gonzalo Rodrí_guez,CB,50,78.40909091,63.63636364,50,25,72,62,82,82,85,80,76,32,84,64,76,38,72,76,68,68,66,80,60,64,86,86,68,44,36,50,46,74,22,12,12,11,4,9
Vincent Enyeama,GK,50,87.5,72.72727273,50,0,23,11,12,11,12,39,76,10,21,58,24,10,39,28,50,54,35,71,59,60,80,10,35,19,10,14,71,75,11,78,77,76,80,90
David Villa,ST,33.33333333,67.04545455,77.27272727,100,75,85,82,22,38,28,67,82,86,29,71,83,71,74,67,75,72,73,66,75,76,67,66,80,86,76,83,80,88,78,11,8,9,9,9
Victor Valdí©s,GK,52.38095238,77.27272727,77.27272727,50,0,30,12,10,10,12,36,75,12,21,38,70,10,27,36,39,45,34,71,53,58,80,11,29,12,10,11,12,26,10,84,81,75,78,83
Per Mertesacker,CB,88.0952381,90.90909091,63.63636364,50,25,65,39,86,84,87,69,83,43,88,58,87,38,67,58,26,28,61,87,28,29,32,86,71,36,25,39,45,42,30,12,12,5,13,8
Casillas,GK,57.14285714,84.09090909,77.27272727,25,0,23,25,11,13,11,23,77,16,22,65,70,13,21,22,59,57,43,70,46,62,77,25,28,12,13,25,13,24,14,80,86,58,74,84
Niklas Sí_le,CB,80.95238095,96.59090909,13.63636364,50,25,46,42,82,82,86,77,79,26,84,30,69,30,72,57,51,68,65,93,33,33,38,80,70,20,59,28,30,32,29,7,15,14,7,15
Domenico Berardi,RW,52.38095238,70.45454545,18.18181818,50,50,86,85,22,30,30,80,75,81,26,77,71,76,75,75,85,85,80,65,73,87,66,62,83,78,83,72,76,80,78,5,5,5,6,6
Adrien Rabiot,CM,64.28571429,69.31818182,13.63636364,50,25,81,79,66,68,77,74,80,73,77,81,81,69,84,79,73,70,79,77,53,76,76,75,79,66,76,67,57,68,68,7,9,9,12,15
Andrea Belotti,ST,47.61904762,70.45454545,22.72727273,100,50,76,76,15,32,23,79,78,85,31,61,75,42,68,42,80,82,84,85,75,79,83,81,81,86,67,64,56,77,80,14,13,12,7,7
Mateo KovaÛçiÛˆ,CM,40.47619048,76.13636364,18.18181818,75,75,87,88,52,61,65,71,68,67,69,88,70,73,87,79,86,78,78,65,70,77,62,42,79,58,74,78,68,59,76,7,9,6,5,7
Sergio Rico,GK,78.57142857,88.63636364,22.72727273,50,0,12,14,18,11,11,27,78,11,23,45,29,17,23,23,50,53,31,67,61,62,63,11,19,14,12,24,20,24,15,81,80,78,79,83
Jorginho,CM,45.23809524,62.5,31.81818182,50,50,84,77,63,70,75,78,81,72,78,83,75,70,85,84,77,77,83,58,74,82,61,56,71,57,62,75,76,84,71,14,14,13,7,8
Michy Batshuayi,ST,57.14285714,77.27272727,22.72727273,75,50,77,78,16,22,26,59,79,83,23,63,81,65,64,36,81,84,65,82,78,84,81,73,83,83,76,61,46,67,74,7,9,16,10,15
Ií±igo Martí_nez,CB,47.61904762,76.13636364,31.81818182,25,25,67,53,85,84,81,86,75,48,82,46,61,51,69,77,71,72,74,78,64,67,89,76,81,42,74,72,51,39,37,13,12,11,16,11
Suso,RW,35.71428571,68.18181818,22.72727273,50,75,86,86,19,18,23,23,78,76,21,80,76,81,81,75,82,81,78,50,84,86,55,50,74,70,80,83,78,68,68,8,15,9,15,9
Jasper Cillessen,GK,57.14285714,82.95454545,40.90909091,50,0,32,12,18,11,12,25,78,11,25,60,70,17,47,33,54,50,40,67,50,48,71,12,35,10,15,10,10,21,19,81,79,74,83,77
Wissam Ben Yedder,ST,21.42857143,65.90909091,36.36363636,100,75,83,85,28,26,21,55,80,83,44,76,82,73,77,68,86,84,77,57,86,91,85,74,78,84,69,80,77,74,76,7,6,9,13,7
Lucas Pí©rez,ST,45.23809524,71.59090909,45.45454545,50,75,82,81,24,26,24,69,81,81,38,76,76,74,77,70,78,78,74,73,75,74,65,68,83,85,82,83,78,79,79,10,14,8,8,10
Bartra,CB,54.76190476,71.59090909,36.36363636,50,50,78,70,82,81,79,79,81,61,86,75,73,50,79,78,78,76,65,68,69,69,86,78,61,43,42,56,45,52,43,12,10,13,15,8
Mario Gaspar,RB,50,72.72727273,36.36363636,50,25,75,73,83,82,80,77,77,64,80,57,61,79,75,69,81,84,88,79,60,69,73,64,81,68,69,75,54,50,77,9,9,8,12,15
LukíçÅç Hríçdeckí_,GK,69.04761905,79.54545455,40.90909091,50,0,19,10,11,13,10,31,82,9,18,53,48,11,15,20,37,44,34,55,39,43,69,11,14,11,14,11,15,20,9,79,79,77,76,85
Wilfried Bony,ST,50,90.90909091,45.45454545,75,50,76,74,25,28,42,70,81,83,38,65,83,45,68,45,69,75,78,94,72,67,86,84,85,83,80,66,58,77,76,7,10,5,8,11
Iturraspe,CM,61.9047619,73.86363636,45.45454545,50,25,80,69,72,79,84,66,83,72,84,81,65,57,86,84,58,61,70,80,45,53,52,78,67,60,69,68,66,58,47,7,7,8,12,9
Salomí_n Rondí_n,ST,66.66666667,85.22727273,40.90909091,75,50,78,75,25,13,23,72,73,82,33,53,75,48,69,40,76,77,68,91,48,72,72,88,86,81,70,53,52,62,75,5,13,7,13,14
Bas Dost,ST,83.33333333,77.27272727,40.90909091,50,25,70,60,29,26,48,72,84,87,39,60,78,38,70,37,54,66,84,87,35,37,55,92,85,86,74,51,32,77,84,11,6,15,12,8
Igor Smolnikov,RB,40.47619048,68.18181818,45.45454545,50,25,72,72,83,81,78,65,80,78,71,76,63,80,80,76,84,90,93,68,76,80,85,69,67,61,57,49,46,41,57,8,7,10,12,15
Mario Balotelli,ST,66.66666667,88.63636364,36.36363636,75,75,85,81,16,20,22,70,62,76,30,70,64,68,72,52,76,78,60,85,50,69,75,66,86,83,74,78,78,92,74,4,2,2,2,2
Wojciech SzczÛ»sny,GK,83.33333333,84.09090909,36.36363636,50,0,22,11,11,12,13,40,78,14,15,41,68,12,32,36,50,40,38,61,46,55,38,16,15,12,14,16,14,18,14,77,83,74,77,85
Nikola KaliniÛˆ,ST,61.9047619,79.54545455,50,75,50,79,74,22,28,32,70,85,90,42,66,78,60,72,48,69,78,79,78,58,69,68,80,78,85,68,64,54,70,80,11,9,9,11,7
Mikel San Josí©,CM,59.52380952,76.13636364,40.90909091,50,25,79,70,72,74,85,74,82,70,83,77,57,47,84,83,44,54,80,79,55,46,77,82,71,69,78,31,44,51,70,8,10,10,6,16
Christian Benteke,ST,69.04761905,82.95454545,36.36363636,75,50,80,72,25,18,30,65,71,76,29,73,78,58,72,48,75,79,77,90,48,74,82,86,85,79,76,60,67,77,74,8,14,12,5,5
Ljubomir Fejsa,CDM,57.14285714,79.54545455,45.45454545,50,25,71,69,79,77,84,91,76,59,86,62,67,50,77,74,52,53,86,83,56,56,73,73,74,51,65,43,57,56,56,11,14,13,12,14
Federico Fazio,CB,80.95238095,85.22727273,54.54545455,25,25,70,48,82,78,84,82,78,32,83,47,83,44,64,62,33,32,69,89,33,29,44,88,63,41,26,46,37,33,35,11,8,12,9,14
Simon Kjí_r,CB,66.66666667,90.90909091,45.45454545,50,25,67,42,80,80,82,80,76,31,81,49,65,54,75,74,60,69,78,83,58,48,62,82,78,55,41,52,73,46,37,10,6,13,10,15
Loí¿c Rí©my,ST,57.14285714,79.54545455,54.54545455,50,75,76,75,23,21,24,57,77,81,48,71,76,61,75,60,87,86,73,74,65,77,89,80,78,80,77,66,51,78,71,14,9,15,10,12
Adíçn,GK,71.42857143,88.63636364,50,25,0,15,12,11,18,14,41,76,11,20,35,57,12,34,43,55,55,35,77,51,55,71,23,25,11,12,11,12,25,15,81,80,72,83,82
Benoí¬t Trí©moulinas,LB,26.19047619,62.5,59.09090909,50,25,80,75,79,81,80,72,82,73,72,70,76,86,81,77,82,82,87,63,78,81,74,67,74,58,65,82,59,77,47,14,5,11,14,8
Augusto Ferníçndez,CM,38.0952381,69.31818182,54.54545455,50,50,82,78,57,64,76,80,85,78,77,82,81,70,82,81,67,71,79,73,75,75,59,59,74,69,73,65,61,62,57,16,9,6,13,9
Davide Astori,CB,64.28571429,79.54545455,54.54545455,50,25,66,56,85,80,85,78,78,29,86,46,74,34,68,68,67,69,69,80,54,58,80,77,65,25,36,33,17,27,27,4,4,4,4,4
Raí_l Garcí_a,CAM,54.76190476,80.68181818,54.54545455,50,50,84,74,54,63,71,84,86,85,65,82,83,77,87,85,55,61,61,82,63,65,73,88,84,73,80,72,68,76,55,16,14,14,16,15
Ryan Shawcross,CB,71.42857143,75,50,50,25,54,42,82,80,83,86,73,31,81,50,62,33,63,69,54,54,79,88,57,62,72,84,44,53,28,34,24,48,35,13,10,7,12,15
Martin Åækrtel,CB,71.42857143,80.68181818,63.63636364,25,25,59,46,80,81,83,81,73,33,81,28,71,39,69,67,54,68,75,85,52,52,75,83,46,35,35,33,27,52,43,6,15,7,5,11
Bacary Sagna,RB,35.71428571,70.45454545,72.72727273,75,50,75,74,84,84,84,75,80,66,79,59,84,74,70,64,75,74,84,81,76,68,84,79,69,40,62,66,47,59,56,9,11,7,9,9
Dante,CB,64.28571429,87.5,68.18181818,75,25,72,60,78,85,82,73,77,41,80,62,77,61,74,76,53,55,63,82,64,54,65,83,67,48,54,51,60,57,44,6,14,10,8,13
Andrí©-Pierre Gignac,ST,61.9047619,89.77272727,59.09090909,50,50,77,75,22,23,41,80,76,81,51,72,80,72,73,68,75,72,72,88,60,66,70,80,84,82,80,77,70,78,80,11,10,14,15,11
Negredo,ST,59.52380952,81.81818182,59.09090909,50,50,79,72,36,32,34,78,76,80,32,64,67,53,75,66,64,65,65,88,57,67,79,83,85,81,77,68,69,80,81,7,11,11,6,13
Pablo Zabaleta,RB,40.47619048,72.72727273,63.63636364,50,50,76,73,84,83,84,88,85,71,85,66,70,75,72,64,67,68,82,79,66,71,84,76,66,49,57,68,66,64,53,7,10,15,14,5
Darijo Srna,RB,40.47619048,70.45454545,72.72727273,50,50,83,72,78,77,78,83,78,76,85,86,81,85,85,87,69,81,81,72,65,71,67,60,83,69,77,86,83,84,72,6,10,6,10,12
Cí©dric Carrasso,GK,61.9047619,94.31818182,77.27272727,50,0,22,14,13,14,13,43,73,13,23,53,60,11,24,22,38,42,31,71,35,39,73,11,24,13,14,10,12,13,13,79,78,81,79,82
Carlos Idriss Kameni,GK,59.52380952,86.36363636,68.18181818,50,0,14,15,13,12,11,34,71,14,24,40,57,12,27,29,44,45,40,79,57,65,76,13,22,11,12,11,12,24,13,77,84,74,82,82
Moyíç,GK,66.66666667,81.81818182,63.63636364,25,0,24,13,13,14,14,22,75,10,11,62,39,11,31,35,46,34,30,57,49,54,62,12,21,11,16,16,12,11,13,81,85,82,78,79
Rune Almenning Jarstein,GK,69.04761905,81.81818182,63.63636364,75,0,23,11,13,13,11,34,69,15,19,37,56,18,34,34,40,46,31,70,45,35,59,16,21,13,18,10,14,13,16,85,77,75,80,83
Jermain Defoe,ST,21.42857143,68.18181818,72.72727273,75,50,77,78,24,11,20,63,80,87,19,67,84,54,68,43,78,77,73,62,88,83,74,68,88,87,81,63,68,71,83,10,7,8,14,13
Thiago Motta,CDM,61.9047619,82.95454545,72.72727273,75,50,83,68,68,75,83,89,74,50,77,74,80,66,84,85,42,41,72,83,50,47,83,79,82,54,73,67,67,70,76,5,10,7,10,14
Fernando Torres,ST,59.52380952,77.27272727,68.18181818,75,50,81,82,17,18,22,62,73,82,20,76,69,68,78,51,76,78,63,76,54,74,75,76,83,77,73,80,63,74,81,9,14,8,13,10
Jí_lio Cí©sar,GK,59.52380952,78.40909091,86.36363636,50,0,32,27,19,16,10,37,75,12,25,67,68,18,23,21,39,43,35,72,56,69,75,18,14,12,17,16,11,13,11,79,83,62,78,82
Didier Drogba,ST,66.66666667,79.54545455,95.45454545,75,50,80,74,22,29,32,80,80,81,42,76,80,67,60,60,64,64,62,86,56,63,76,85,85,82,79,78,84,84,76,6,10,8,11,14
John Terry,CB,61.9047619,90.90909091,81.81818182,75,25,60,45,82,81,82,80,81,38,83,59,82,42,66,62,33,34,63,85,46,44,80,90,61,46,33,44,31,52,55,15,14,6,5,8
Samuel Eto'o,ST,42.85714286,73.86363636,81.81818182,50,75,80,80,20,35,39,75,79,83,39,75,84,69,76,71,73,75,68,70,74,79,85,73,85,84,75,78,72,85,80,13,7,11,10,12
Gelson Martins,RM,28.57142857,64.77272727,13.63636364,50,75,82,85,32,33,37,55,82,78,43,75,84,77,73,60,93,93,80,48,91,94,65,51,73,67,74,86,60,66,74,6,12,7,9,9
Marco Sportiello,GK,73.80952381,87.5,27.27272727,25,0,22,19,19,13,17,23,76,18,29,44,49,13,32,19,48,38,37,66,58,55,68,18,19,18,17,14,21,21,12,78,82,72,78,83
Nikola MaksimoviÛˆ,CB,76.19047619,81.81818182,31.81818182,50,25,61,49,82,79,85,79,74,29,81,31,70,45,59,59,63,69,68,86,58,54,68,82,39,22,29,29,23,26,28,11,12,5,9,15
Alisson,GK,71.42857143,92.04545455,27.27272727,25,0,21,16,20,16,19,27,81,13,11,65,60,17,27,20,44,35,32,78,37,30,52,19,21,13,14,19,18,23,20,78,75,70,76,86
Daniele Rugani,CB,69.04761905,80.68181818,18.18181818,50,25,65,60,85,83,85,67,75,29,85,50,70,40,63,59,61,67,69,81,55,61,81,77,58,33,39,45,25,29,35,5,5,5,10,5
Felipe,CB,57.14285714,76.13636364,40.90909091,50,25,64,57,80,77,81,83,80,34,82,43,70,45,62,50,64,74,82,78,57,52,92,82,46,39,41,32,30,47,40,9,9,14,11,7
Taras Stepanenko,CDM,47.61904762,75,40.90909091,50,25,78,64,80,79,79,84,78,63,82,69,81,61,81,77,71,64,82,78,73,60,71,69,75,53,70,53,45,52,56,14,15,9,13,9
Luke Shaw,LB,57.14285714,73.86363636,13.63636364,25,25,76,79,79,78,80,74,78,73,79,65,75,78,75,64,83,88,78,80,75,80,68,67,62,44,48,63,58,53,58,7,10,13,12,7
Antonio Rí_diger,CB,69.04761905,85.22727273,27.27272727,50,25,67,59,82,79,80,89,78,33,76,57,70,68,70,65,76,78,65,81,50,63,72,77,70,27,40,34,56,40,34,12,14,10,15,8
Matija NastasiÛˆ,CB,64.28571429,82.95454545,27.27272727,50,25,66,35,81,86,84,78,79,30,78,55,78,46,69,67,66,74,65,78,58,64,81,79,44,27,22,29,32,47,32,15,11,11,16,13
John Brooks,CB,76.19047619,77.27272727,27.27272727,50,25,62,65,80,79,84,76,69,40,82,57,77,36,70,69,69,78,64,84,51,60,74,85,50,33,29,30,28,45,31,9,8,10,7,10
Hí©ctor Bellerí_n,RB,40.47619048,72.72727273,18.18181818,50,50,77,76,75,80,76,72,77,67,76,63,67,74,74,59,96,94,84,61,77,84,65,60,52,52,43,63,50,62,41,13,8,14,14,12
ValíÂre Germain,ST,45.23809524,71.59090909,36.36363636,75,50,80,76,22,18,21,65,79,84,44,78,76,75,78,64,78,79,81,61,77,90,80,79,79,82,77,76,75,77,79,9,14,11,7,14
Layvin Kurzawa,LB,50,72.72727273,27.27272727,50,50,80,76,78,81,77,75,80,76,76,75,74,83,81,71,82,76,80,72,75,75,81,76,69,71,67,73,53,62,61,9,14,7,10,15
Jeison Murillo,CB,50,77.27272727,27.27272727,25,25,63,57,82,86,82,83,74,45,80,54,72,56,61,61,76,78,74,78,69,78,86,80,68,37,13,38,26,46,44,11,14,8,13,14
Riccardo Saponara,CAM,54.76190476,71.59090909,31.81818182,75,75,85,84,26,30,34,52,75,78,30,84,76,76,83,78,74,78,75,69,71,72,64,57,73,64,68,80,70,67,65,5,5,5,3,3
Allan,CM,33.33333333,72.72727273,36.36363636,50,50,78,77,76,80,84,82,84,78,84,79,77,70,80,76,79,76,94,76,82,79,69,59,70,62,62,65,49,53,56,5,13,5,13,8
Sebastiíçn Coates,CB,83.33333333,93.18181818,36.36363636,50,25,57,56,76,84,84,82,74,33,79,43,67,17,69,72,50,66,77,93,32,31,62,80,63,23,27,26,19,42,60,16,16,15,13,13
Yaroslav Rakitskyi,CB,45.23809524,68.18181818,40.90909091,50,25,77,69,83,82,84,82,77,53,82,75,78,68,78,84,69,74,80,75,73,72,74,68,87,57,84,75,77,50,53,12,12,7,16,6
Phil Jones,CB,57.14285714,69.31818182,31.81818182,50,25,69,60,81,82,82,85,78,42,79,59,73,64,75,67,55,68,80,80,62,43,83,75,68,50,59,38,35,55,60,16,10,6,8,11
Adriíçn,GK,64.28571429,76.13636364,54.54545455,25,0,23,15,14,14,19,38,75,12,25,32,36,12,21,32,46,44,38,74,48,47,69,15,40,16,20,12,17,44,12,75,82,70,78,86
Neto,GK,73.80952381,84.09090909,40.90909091,25,0,24,19,19,15,14,40,74,11,15,40,72,11,36,36,53,49,39,63,49,59,79,14,28,15,19,12,13,22,12,74,84,74,80,83
Oliver Baumann,GK,61.9047619,81.81818182,36.36363636,50,0,17,19,10,14,18,32,78,10,21,41,52,14,30,25,47,51,32,64,43,45,69,16,21,11,13,12,11,22,11,76,82,59,79,84
Míçrio Fernandes,RB,61.9047619,79.54545455,36.36363636,50,25,74,73,79,84,81,77,73,71,77,69,76,76,78,70,79,83,81,75,55,79,83,73,72,56,62,66,39,53,52,13,12,14,13,12
Jesí_s Corona,RM,28.57142857,59.09090909,27.27272727,100,75,84,90,37,40,46,45,82,76,56,77,80,69,74,68,86,79,74,39,87,90,72,68,66,78,61,85,67,68,69,14,11,10,6,9
Maxime Gonalons,CDM,61.9047619,75,45.45454545,75,25,75,67,78,76,82,86,77,60,84,65,74,61,79,76,68,67,88,77,65,64,79,78,77,55,59,57,57,71,60,8,11,11,11,5
Alphonse Areola,GK,71.42857143,92.04545455,27.27272727,50,0,22,12,19,12,18,26,76,17,23,34,35,20,41,32,54,52,28,80,58,53,59,14,25,19,14,16,16,25,16,76,82,72,79,83
Eduardo Salvio,RM,28.57142857,65.90909091,36.36363636,75,75,82,81,40,33,38,67,77,80,52,70,78,77,74,70,91,90,73,62,84,85,87,67,75,73,73,75,64,60,72,5,9,9,11,14
Stephan El Shaarawy,LW,40.47619048,70.45454545,27.27272727,25,100,87,84,25,25,30,54,72,76,36,73,71,70,74,57,86,87,72,55,82,85,60,51,74,75,74,80,63,72,77,5,5,5,3,3
Marwin Hitz,GK,73.80952381,84.09090909,50,50,0,17,13,15,14,15,25,71,8,23,15,42,12,29,25,41,46,39,78,31,45,67,18,38,27,12,15,17,22,26,80,82,74,76,82
Marcel Schmelzer,LB,47.61904762,72.72727273,50,25,25,71,67,79,84,81,81,78,54,75,52,71,79,74,66,75,79,85,75,64,67,72,74,74,37,60,74,72,46,47,9,14,15,10,8
Ron-Robert Zieler,GK,61.9047619,71.59090909,45.45454545,25,0,22,12,11,13,12,32,80,15,21,39,61,15,25,22,46,50,32,55,41,43,69,13,21,10,14,11,10,24,12,81,78,66,79,81
Danny Drinkwater,CM,38.0952381,68.18181818,40.90909091,75,50,80,73,70,76,79,74,79,74,76,77,77,64,81,83,68,68,83,74,78,69,56,61,76,61,73,70,69,53,63,9,12,8,6,12
Ibrahima Traorí©,RM,23.80952381,57.95454545,45.45454545,25,75,78,87,32,40,43,53,80,76,41,76,79,80,76,74,92,85,74,47,93,94,72,44,80,66,77,84,64,56,53,8,6,11,6,7
Angelo Ogbonna,CB,71.42857143,86.36363636,45.45454545,50,25,59,61,81,83,84,70,64,30,84,50,79,51,68,67,70,73,70,84,54,60,74,78,71,25,46,51,36,39,30,4,5,5,3,4
Konstantinos Mitroglou,ST,64.28571429,85.22727273,50,100,50,78,76,10,10,15,83,79,82,10,67,81,60,67,59,53,62,71,85,34,51,79,85,82,82,78,73,71,61,80,8,12,10,7,16
Kiko Casilla,GK,71.42857143,84.09090909,54.54545455,25,0,20,12,12,11,15,45,74,12,20,52,51,24,30,24,32,49,43,79,58,43,69,13,24,14,13,25,25,23,23,82,75,80,83,77
Nacho Monreal,LB,42.85714286,70.45454545,59.09090909,50,25,77,73,79,81,82,74,79,61,82,66,79,78,77,61,75,75,84,65,72,74,75,67,71,39,61,74,59,61,56,3,7,9,5,5
Serdar Tasci,CB,59.52380952,79.54545455,50,75,25,74,63,80,81,82,75,78,39,79,57,70,50,76,78,67,66,55,78,58,59,81,82,64,33,34,37,45,42,50,14,14,16,10,6
Winston Reid,CB,69.04761905,87.5,45.45454545,50,25,57,43,81,82,81,84,79,42,80,44,72,28,62,62,71,74,76,81,43,57,74,83,72,46,53,33,38,55,30,10,13,9,15,12
Hí©ctor Moreno,CB,52.38095238,79.54545455,50,25,25,68,56,82,82,84,77,76,35,74,59,69,50,74,68,67,67,72,78,62,68,75,84,63,33,39,48,28,63,55,9,12,14,15,10
Ryan Bertrand,LB,42.85714286,85.22727273,40.90909091,50,25,76,74,79,82,82,73,76,63,77,51,75,79,76,70,81,79,82,72,71,76,71,69,59,38,54,74,66,52,43,10,11,15,13,15
Jardel,CB,73.80952381,85.22727273,59.09090909,50,25,58,54,82,80,84,85,72,30,79,51,72,46,57,53,55,66,69,89,34,34,70,84,67,38,37,30,35,57,27,16,7,11,16,7
Salvatore Sirigu,GK,69.04761905,79.54545455,54.54545455,25,0,18,15,16,13,11,35,75,10,20,46,55,13,23,28,50,51,34,66,55,52,68,11,20,10,14,11,11,19,12,78,80,73,76,80
Vitaliy Denisov,LB,40.47619048,73.86363636,54.54545455,50,25,69,73,76,83,80,82,74,60,87,63,61,73,67,65,86,80,91,72,70,69,71,66,75,40,53,65,62,31,57,9,13,7,9,10
Gustavo Cabral,CB,50,80.68181818,59.09090909,50,25,61,49,82,84,79,84,76,40,80,49,59,35,74,59,52,51,74,78,63,59,86,81,50,22,29,33,48,47,28,7,11,11,7,11
Gabriel Paletta,CB,69.04761905,79.54545455,59.09090909,50,25,54,50,84,80,84,84,76,28,84,18,74,30,55,60,55,55,69,87,48,50,80,76,60,16,44,48,35,35,30,10,10,15,6,14
ÅÅukasz FabiaÅ‹ski,GK,69.04761905,82.95454545,59.09090909,25,0,22,14,11,13,12,43,71,15,16,52,63,14,20,32,50,47,25,65,44,52,68,11,14,13,20,18,12,22,17,78,77,70,84,84
Ben Foster,GK,76.19047619,90.90909091,68.18181818,50,0,25,14,15,14,15,15,72,14,23,42,67,15,36,32,50,48,32,57,50,45,75,14,27,18,14,15,17,41,14,77,79,73,79,84
Vedad IbiÅçeviÛˆ,ST,64.28571429,81.81818182,63.63636364,75,50,76,72,20,22,35,82,84,85,30,73,79,65,76,47,54,64,68,79,59,66,72,82,80,85,66,73,56,77,84,14,16,13,12,16
Andreas Granqvist,CB,73.80952381,84.09090909,59.09090909,75,25,63,49,83,79,83,81,76,54,82,49,78,49,73,67,46,49,67,83,36,55,64,81,74,51,59,36,40,79,37,10,7,12,9,15
Hí©ctor Herrera,CM,52.38095238,70.45454545,36.36363636,75,50,76,75,75,67,77,79,77,78,82,74,73,65,76,74,74,77,92,75,70,66,66,60,81,66,77,67,63,59,60,7,6,15,10,16
Igor Akinfeev,GK,59.52380952,81.81818182,54.54545455,50,0,22,15,17,13,13,24,70,11,17,62,68,19,23,22,51,50,35,72,45,53,62,18,24,13,13,19,13,10,10,82,77,78,72,83
Andriy Pyatov,GK,69.04761905,84.09090909,63.63636364,50,0,12,12,12,10,9,35,78,14,23,63,52,13,29,24,44,44,37,76,32,58,73,10,19,9,12,14,16,15,12,81,79,83,74,83
Antonio Mirante,GK,76.19047619,78.40909091,68.18181818,25,0,21,15,18,12,12,32,77,10,17,43,65,10,35,35,44,43,33,55,50,50,62,13,23,17,15,17,13,21,15,78,82,64,80,82
Federico Marchetti,GK,64.28571429,82.95454545,72.72727273,50,0,20,11,19,14,12,36,80,12,22,45,64,13,36,35,55,50,34,62,61,60,84,12,20,17,13,14,12,22,12,78,80,66,78,84
Michel Vorm,GK,54.76190476,84.09090909,68.18181818,50,0,35,18,15,14,11,23,82,10,28,32,65,13,39,35,57,58,38,65,53,67,73,17,23,14,19,12,14,41,12,76,79,74,76,84
Daniel Baier,CDM,35.71428571,76.13636364,63.63636364,50,50,78,76,73,74,79,68,81,58,84,80,84,73,82,82,64,58,81,67,77,77,78,52,68,52,67,62,70,62,58,9,7,7,9,9
Rení© Adler,GK,71.42857143,87.5,63.63636364,50,0,20,13,12,13,12,25,80,7,17,38,49,13,39,36,46,37,22,66,43,49,69,10,23,14,14,12,13,21,18,82,78,70,79,80
Jí©rí©my Toulalan,CDM,52.38095238,85.22727273,68.18181818,50,25,79,65,68,73,83,84,76,66,83,74,77,67,80,76,49,47,78,79,64,57,66,70,76,27,70,53,56,56,27,5,12,15,6,7
